Date,Winter,LateFall,Fall,Spring
1976-10-01,0,0.00720376,0,0
1976-10-02,0,0.007351582,0,0
1976-10-03,0,0.007497751,0,0
1976-10-04,0,0.007642047,0,0
1976-10-05,0,0.007784255,0,0
1976-10-06,0,0.007924154,0,0
1976-10-07,0,0.008061528,0,0
1976-10-08,0,0.008196158,0,0
1976-10-09,0,0.008327831,0,0
1976-10-10,0,0.008456332,0,0
1976-10-11,0,0.008581451,0,0
1976-10-12,0,0.008702981,0,0
1976-10-13,0,0.008820716,0,0
1976-10-14,0,0.008934459,0,0
1976-10-15,1.75E-06,0.009044014,0,0
1976-10-16,2.45E-06,0.009149192,0,0
1976-10-17,3.41E-06,0.00924981,0,0
1976-10-18,4.69E-06,0.009345693,0,0
1976-10-19,6.35E-06,0.009436669,0,0
1976-10-20,8.58E-06,0.009522578,0,0
1976-10-21,1.14E-05,0.009603264,0,0
1976-10-22,1.51E-05,0.009678584,0,0
1976-10-23,1.98E-05,0.009748399,0,0
1976-10-24,2.57E-05,0.009812583,0,0
1976-10-25,3.31E-05,0.009871019,0,0
1976-10-26,4.24E-05,0.009923598,0,0
1976-10-27,0.000053563,0.009970224,0,0
1976-10-28,0.000067373,0.010010811,0,0
1976-10-29,8.40E-05,0.010045282,0,0
1976-10-30,0.000103921,0.010073574,0,0
1976-10-31,0.000128011,0.010095634,0,0
1976-11-01,0.000156455,0.010111421,0,0
1976-11-02,0.000190048,0.010120905,0,0
1976-11-03,0.000229728,0.010124068,0,0
1976-11-04,0.000275607,0.010120905,0,0
1976-11-05,0.000328924,0.010111421,0,0
1976-11-06,0.000390312,0.010095634,0,0
1976-11-07,0.000459941,0.010073574,0,0
1976-11-08,0.000539536,0.010045282,0,0
1976-11-09,0.000628802,0.010010811,0,0
1976-11-10,0.000728091,0.009970224,0,0
1976-11-11,0.000839058,0.009923598,0,0
1976-11-12,0.000960452,0.009871019,0,0
1976-11-13,0.00109259,0.009812583,0,0
1976-11-14,0.001235431,0.009748399,0,0
1976-11-15,0.001387571,0.009678584,0,0
1976-11-16,0.001549098,0.009603264,0,0
1976-11-17,0.001718612,0.009522578,0,0
1976-11-18,0.001894788,0.009436669,0,0
1976-11-19,0.002077265,0.009345693,0,0
1976-11-20,0.002264258,0.00924981,0,0
1976-11-21,0.002455032,0.009149192,0,0
1976-11-22,0.002648991,0.009044014,0,0
1976-11-23,0.002845326,0.008934459,0,0
1976-11-24,0.003044076,0.008820716,0,0
1976-11-25,0.003245509,0.008702981,0,0
1976-11-26,0.003449947,0.008581451,0,0
1976-11-27,0.003658579,0.008456332,0,0
1976-11-28,0.003872188,0.008327831,0,0
1976-11-29,0.004091496,0.008196158,0,0
1976-11-30,0.004318328,0.008061528,0,0
1976-12-01,0.004552474,0.007924154,0,0
1976-12-02,0.004794073,0.007784255,0,0
1976-12-03,0.005042706,0.007642047,0,0
1976-12-04,0.005296189,0.007497751,0,0
1976-12-05,0.005552414,0.007351582,0,0
1976-12-06,0.005807603,0.00720376,0,0
1976-12-07,0.006057876,0.007054499,0,0
1976-12-08,0.006297121,0.006904015,0,0
1976-12-09,0.006520379,0.006752519,0,0
1976-12-10,0.006722582,0.006600221,0,0
1976-12-11,0.006893499,0.006447327,0,0
1976-12-12,0.00703186,0.006294039,0,0
1976-12-13,0.00713164,0.006140558,0,0
1976-12-14,0.00718733,0.005987076,0,0
1976-12-15,0.007200498,0.005833782,0,0
1976-12-16,0.007166412,0.005680862,0,0
1976-12-17,0.00708757,0.005528495,0,0
1976-12-18,0.006968358,0.005376852,0,0
1976-12-19,0.006807791,0.005226101,0,0
1976-12-20,0.006615319,0.005076404,0,0
1976-12-21,0.006395809,0.004927913,0,0
1976-12-22,0.006155465,0.004780777,0,0
1976-12-23,0.005903666,0.004635136,0,0
1976-12-24,0.005646616,0.004491124,0,0
1976-12-25,0.005391713,0.004348868,0,0
1976-12-26,0.005144456,0.004208486,0,0
1976-12-27,0.004911124,0.004070092,0,0
1976-12-28,0.004695297,0.003933789,0,0
1976-12-29,0.004498899,0.003799675,0,0
1976-12-30,0.00432695,0.00366784,0,0
1976-12-31,0.004177495,0.003538368,0,0
1977-01-01,0.004050486,0.003411333,0,0
1977-01-02,0.003946044,0.003286804,0,0
1977-01-03,0.003860229,0.003164842,0,0
1977-01-04,0.003792262,0.003045501,0,0
1977-01-05,0.003739384,0.00292883,0,0
1977-01-06,0.00369839,0.002814869,0,0
1977-01-07,0.003668139,0.002703651,0,0
1977-01-08,0.003645655,0.002595205,0,0
1977-01-09,0.003629292,0.002489553,0,0
1977-01-10,0.003618307,0.002386709,0,0
1977-01-11,0.00361103,0.002286685,0,0
1977-01-12,0.003607152,0.002189483,0,0
1977-01-13,0.00360662,0.002095104,0,0
1977-01-14,0.003609245,0.00200354,0,0
1977-01-15,0.003615636,0.001914781,0,0
1977-01-16,0.003626222,0.00182881,0,0
1977-01-17,0.003641327,0.001745608,0,0
1977-01-18,0.003662278,0.001665151,0,0
1977-01-19,0.003689339,0.001587409,0,0
1977-01-20,0.003723312,0.001512351,0,0
1977-01-21,0.003765634,0.001439942,0,0
1977-01-22,0.003816206,0.001370144,0,0
1977-01-23,0.003876385,0.001302914,0,0
1977-01-24,0.003947471,0.001238208,0,0
1977-01-25,0.004029627,0.001175981,0,0
1977-01-26,0.004125202,0.001116184,0,0
1977-01-27,0.00423491,0.001058765,0,0
1977-01-28,0.00435937,0.001003672,0,0
1977-01-29,0.00450253,0.000950852,0,0
1977-01-30,0.004663804,0.000900249,0,0
1977-01-31,0.004844549,0.000851806,0,0
1977-02-01,0.005047529,0.000805466,0,0
1977-02-02,0.005271353,0.000761171,0,0
1977-02-03,0.005518039,0.000718863,0,0
1977-02-04,0.005787674,0.000678482,0,0
1977-02-05,0.006078315,0.00063997,0,0
1977-02-06,0.006391255,0.000603266,0,0
1977-02-07,0.006723259,0.000568312,0,0
1977-02-08,0.007072171,0.000535049,0,0
1977-02-09,0.007436783,0.000503418,0,0
1977-02-10,0.007811568,0.000473361,0,0
1977-02-11,0.008193403,0.000444821,0,0
1977-02-12,0.008577868,0.00041774,0,0
1977-02-13,0.00896034,0.000392062,0,0
1977-02-14,0.009335775,0.000367733,0,0
1977-02-15,0.009698988,0.000344699,0,0
1977-02-16,0.01004623,0,0,0.000151166
1977-02-17,0.0103703,0,0,0.000181907
1977-02-18,0.01066799,0,0,0.000218145
1977-02-19,0.01093597,0,0,0.000260697
1977-02-20,0.01116753,0,0,0.000310474
1977-02-21,0.01136419,0,0,0.000368477
1977-02-22,0.01152229,0,0,0.000435807
1977-02-23,0.01163976,0,0,0.000513659
1977-02-24,0.01172009,0,0,0.000603327
1977-02-25,0.01176096,0,0,0.0007062
1977-02-26,0.01176648,0,0,0.000823759
1977-02-27,0.01174111,0,0,0.000957568
1977-02-28,0.01168465,0,0,0.001109268
1977-03-01,0.01160595,0,0,0.001280562
1977-03-02,0.0115095,0,0,0.001473201
1977-03-03,0.01139992,0,0,0.001688964
1977-03-04,0.01128372,0,0,0.00192964
1977-03-05,0.01116531,0,0,0.002196997
1977-03-06,0.01104949,0,0,0.002492756
1977-03-07,0.01093934,0,0,0.00281856
1977-03-08,0.01083819,0,0,0.003175939
1977-03-09,0.0107469,0,0,0.00356627
1977-03-10,0.01066542,0,0,0.003990742
1977-03-11,0.01059349,0,0,0.004450309
1977-03-12,0.01052739,0,0,0.004945658
1977-03-13,0.01046415,0,0,0.005477157
1977-03-14,0.01039916,0,0,0.006044822
1977-03-15,0.010328,0,0,0.006648277
1977-03-16,0.01024514,0,0,0.007286718
1977-03-17,0.01014544,0,0,0.007958882
1977-03-18,0.01002585,0,0.00012812,0.008663022
1977-03-19,0.009879763,0,0.000158939,0.009396887
1977-03-20,0.009705904,0,0.000196298,0.010157711
1977-03-21,0.009503721,0,0.000241362,0.010942208
1977-03-22,0.00926982,0,0.000295457,0.011746577
1977-03-23,0.009008932,0,0.00036007,0.012566517
1977-03-24,0.008721766,0,0.000436869,0.013397254
1977-03-25,0.008411072,0,0.000527697,0.014233572
1977-03-26,0.008082771,0,0.000634582,0.015069862
1977-03-27,0.007740159,0,0.000759732,0.015900174
1977-03-28,0.007389234,0,0.000905531,0.016718285
1977-03-29,0.007035013,0,0.001074524,0.017517771
1977-03-30,0.006682772,0,0.0012694,0.018292085
1977-03-31,0.006336857,0,0.001492969,0.019034647
1977-04-01,0.006000659,0,0.001748126,0.019738934
1977-04-02,0.005678319,0,0.002037814,0.020398574
1977-04-03,0.005370291,0,0.002364973,0.021007442
1977-04-04,0.005078586,0,0.002732484,0.021559754
1977-04-05,0.004803746,0,0.003143104,0.022050156
1977-04-06,0.004544122,0,0.003599398,0.022473814
1977-04-07,0.004300228,0,0.004103653,0.022826491
1977-04-08,0.004069698,0,0.004657805,0.023104617
1977-04-09,0.003850663,0,0.005263344,0.023305351
1977-04-10,0.003642279,0,0.005921231,0.023426627
1977-04-11,0.003441443,0,0.006631809,0.023467193
1977-04-12,0.003246988,0,0.007394722,0.023426627
1977-04-13,0.00305786,0,0.008208835,0.023305351
1977-04-14,0.002872606,0,0.009072165,0.023104617
1977-04-15,0.002690896,0,0.009981831,0.022826491
1977-04-16,0.002512395,0,0.010934005,0.022473814
1977-04-17,0.002336935,0,0.011923894,0.022050156
1977-04-18,0.002165247,0,0.012945737,0.021559754
1977-04-19,0.001997644,0,0.01399282,0.021007442
1977-04-20,0.001834577,0,0.015057522,0.020398574
1977-04-21,0.001677425,0,0.016131382,0.019738934
1977-04-22,0.001526211,0,0.017205188,0.019034647
1977-04-23,0.00138186,0,0.018269098,0.018292085
1977-04-24,0.001245318,0,0.01931277,0.017517771
1977-04-25,0.001116341,0,0.020325528,0.016718285
1977-04-26,0.000995934,0,0.021296534,0.015900174
1977-04-27,0.000884041,0,0.022214974,0.015069862
1977-04-28,0.000780378,0,0.02307026,0.014233572
1977-04-29,0.000685947,0,0.023852229,0.013397254
1977-04-30,0.000599501,0,0.024551343,0.012566517
1977-05-01,0.000520848,0,0.025158882,0.011746577
1977-05-02,0.000450374,0,0.025667125,0.010942208
1977-05-03,0.00038682,0,0.026069513,0.010157711
1977-05-04,0.000330214,0,0.026360789,0.009396887
1977-05-05,0.000280221,0,0.026537115,0.008663022
1977-05-06,0.000235918,0,0.026596152,0.007958882
1977-05-07,0.000197407,0,0.026537115,0.007286718
1977-05-08,0.000163992,0,0.026360789,0.006648277
1977-05-09,0.000135042,0,0.026069513,0.006044822
1977-05-10,0.00011059,0,0.025667125,0.005477157
1977-05-11,8.97E-05,0,0.025158882,0.004945658
1977-05-12,7.20E-05,0,0.024551343,0.004450309
1977-05-13,5.75E-05,0,0.023852229,0.003990742
1977-05-14,4.53E-05,0,0.02307026,0.00356627
1977-05-15,3.54E-05,0,0.022214974,0.003175939
1977-05-16,2.75E-05,0,0.021296534,0.00281856
1977-05-17,2.10E-05,0,0.020325528,0.002492756
1977-05-18,1.60E-05,0,0.01931277,0.002196997
1977-05-19,1.20E-05,0,0.018269098,0.00192964
1977-05-20,8.90E-06,0,0.017205188,0.001688964
1977-05-21,6.58E-06,0,0.016131382,0.001473201
1977-05-22,4.78E-06,0,0.015057522,0.001280562
1977-05-23,3.44E-06,0,0.01399282,0.001109268
1977-05-24,2.45E-06,0,0.012945737,0.000957568
1977-05-25,0,0,0.011923894,0.000823759
1977-05-26,0,0,0.010934005,0.0007062
1977-05-27,0,0,0.009981831,0.000603327
1977-05-28,0,0,0.009072165,0.000513659
1977-05-29,0,0,0.008208835,0.000435807
1977-05-30,0,0,0.007394722,0.000368477
1977-05-31,0,0,0.006631809,0.000310474
1977-06-01,0,0,0.005921231,0.000260697
1977-06-02,0,0,0.005263344,0.000218145
1977-06-03,0,0,0.004657805,0.000181907
1977-06-04,0,0,0.004103653,0.000151166
1977-06-05,0,0,0.003599398,0.000125185
1977-06-06,0,0,0.003143104,0.000103312
1977-06-07,0,0,0.002732484,0
1977-06-08,0,0,0.002364973,0
1977-06-09,0,0,0.002037814,0
1977-06-10,0,0,0.001748126,0
1977-06-11,0,0,0.001492969,0
1977-06-12,0,0,0.0012694,0
1977-06-13,0,0,0.001074524,0
1977-06-14,0,0,0.000905531,0
1977-06-15,0,0,0.000759732,0
1977-06-16,0,0,0.000634582,0
1977-06-17,0,0,0.000527697,0
1977-06-18,0,0,0.000436869,0
1977-06-19,0,0,0.00036007,0
1977-06-20,0,0,0.000295457,0
1977-06-21,0,0,0.000241362,0
1977-06-22,0,0,0.000196298,0
1977-06-23,0,0,0.000158939,0
1977-06-24,0,0,0.00012812,0
1977-06-25,0,0,0.000102819,0
1977-06-26,0,0,0.0000821,0
1977-06-27,0,0,0.0000653,0
1977-06-28,0,0,0.0000517,0
1977-06-29,0,0,0.0000408,0
1977-06-30,0,0,0.000032,0
1977-07-01,0,0,0.000025,0
1977-07-02,0,0,0,0
1977-07-03,0,0,0,0
1977-07-04,0,0,0,0
1977-07-05,0,0,0,0
1977-07-06,0,0,0,0
1977-07-07,0,0,0,0
1977-07-08,0,0,0,0
1977-07-09,0,0,0,0
1977-07-10,0,0,0,0
1977-07-11,0,0,0,0
1977-07-12,0,0,0,0
1977-07-13,0,0,0,0
1977-07-14,0,0,0,0
1977-07-15,0,0,0,0
1977-07-16,0,0,0,0
1977-07-17,0,0,0,0
1977-07-18,0,0,0,0
1977-07-19,0,0,0,0
1977-07-20,0,0,0,0
1977-07-21,0,0,0,0
1977-07-22,0,0,0,0
1977-07-23,0,0,0,0
1977-07-24,0,0,0,0
1977-07-25,0,0,0,0
1977-07-26,0,0,0,0
1977-07-27,0,0,0,0
1977-07-28,0,0,0,0
1977-07-29,0,0,0,0
1977-07-30,0,0,0,0
1977-07-31,0,0,0,0
1977-08-01,0,0,0,0
1977-08-02,0,0,0,0
1977-08-03,0,0.000718863,0,0
1977-08-04,0,0.000761171,0,0
1977-08-05,0,0.000805466,0,0
1977-08-06,0,0.000851806,0,0
1977-08-07,0,0.000900249,0,0
1977-08-08,0,0.000950852,0,0
1977-08-09,0,0.001003672,0,0
1977-08-10,0,0.001058765,0,0
1977-08-11,0,0.001116184,0,0
1977-08-12,0,0.001175981,0,0
1977-08-13,0,0.001238208,0,0
1977-08-14,0,0.001302914,0,0
1977-08-15,0,0.001370144,0,0
1977-08-16,0,0.001439942,0,0
1977-08-17,0,0.001512351,0,0
1977-08-18,0,0.001587409,0,0
1977-08-19,0,0.001665151,0,0
1977-08-20,0,0.001745608,0,0
1977-08-21,0,0.00182881,0,0
1977-08-22,0,0.001914781,0,0
1977-08-23,0,0.00200354,0,0
1977-08-24,0,0.002095104,0,0
1977-08-25,0,0.002189483,0,0
1977-08-26,0,0.002286685,0,0
1977-08-27,0,0.002386709,0,0
1977-08-28,0,0.002489553,0,0
1977-08-29,0,0.002595205,0,0
1977-08-30,0,0.002703651,0,0
1977-08-31,0,0.002814869,0,0
1977-09-01,0,0.00292883,0,0
1977-09-02,0,0.003045501,0,0
1977-09-03,0,0.003164842,0,0
1977-09-04,0,0.003286804,0,0
1977-09-05,0,0.003411333,0,0
1977-09-06,0,0.003538368,0,0
1977-09-07,0,0.00366784,0,0
1977-09-08,0,0.003799675,0,0
1977-09-09,0,0.003933789,0,0
1977-09-10,0,0.004070092,0,0
1977-09-11,0,0.004208486,0,0
1977-09-12,0,0.004348868,0,0
1977-09-13,0,0.004491124,0,0
1977-09-14,0,0.004635136,0,0
1977-09-15,0,0.004780777,0,0
1977-09-16,0,0.004927913,0,0
1977-09-17,0,0.005076404,0,0
1977-09-18,0,0.005226101,0,0
1977-09-19,0,0.005376852,0,0
1977-09-20,0,0.005528495,0,0
1977-09-21,0,0.005680862,0,0
1977-09-22,0,0.005833782,0,0
1977-09-23,0,0.005987076,0,0
1977-09-24,0,0.006140558,0,0
1977-09-25,0,0.006294039,0,0
1977-09-26,0,0.006447327,0,0
1977-09-27,0,0.006600221,0,0
1977-09-28,0,0.006752519,0,0
1977-09-29,0,0.006904015,0,0
1977-09-30,0,0.007054499,0,0